Epoch:[2/500]-[77/93] --> d_loss: 1.461, g_loss:0.836, g_recon_loss:0.586
Epoch:[2/500]-[78/93] --> d_loss: 1.452, g_loss:0.844, g_recon_loss:0.588
Epoch:[2/500]-[79/93] --> d_loss: 1.455, g_loss:0.835, g_recon_loss:0.583
Epoch:[2/500]-[80/93] --> d_loss: 1.458, g_loss:0.832, g_recon_loss:0.584
Epoch:[2/500]-[81/93] --> d_loss: 1.454, g_loss:0.838, g_recon_loss:0.589
Epoch:[2/500]-[82/93] --> d_loss: 1.452, g_loss:0.834, g_recon_loss:0.587
Epoch:[2/500]-[83/93] --> d_loss: 1.445, g_loss:0.832, g_recon_loss:0.585
Epoch:[2/500]-[84/93] --> d_loss: 1.456, g_loss:0.837, g_recon_loss:0.582
Epoch:[2/500]-[85/93] --> d_loss: 1.457, g_loss:0.835, g_recon_loss:0.586
Epoch:[2/500]-[86/93] --> d_loss: 1.458, g_loss:0.834, g_recon_loss:0.578
Epoch:[2/500]-[87/93] --> d_loss: 1.450, g_loss:0.838, g_recon_loss:0.585
Epoch:[2/500]-[88/93] --> d_loss: 1.449, g_loss:0.832, g_recon_loss:0.589
Epoch:[2/500]-[89/93] --> d_loss: 1.457, g_loss:0.845, g_recon_loss:0.587
Epoch:[2/500]-[90/93] --> d_loss: 1.451, g_loss:0.835, g_recon_loss:0.586
Epoch:[2/500]-[91/93] --> d_loss: 1.465, g_loss:0.844, g_recon_loss:0.583
Epoch:[2/500]-[92/93] --> d_loss: 1.446, g_loss:0.828, g_recon_loss:0.574
Epoch:[2/500]-[93/93] --> d_loss: 1.457, g_loss:0.833, g_recon_loss:0.588
Epoch (3/500)-----------------------------------------------------------------------
Epoch:[3/500]-[1/93] --> d_loss: 1.461, g_loss:0.832, g_recon_loss:0.580
Epoch:[3/500]-[2/93] --> d_loss: 1.445, g_loss:0.836, g_recon_loss:0.586
Epoch:[3/500]-[3/93] --> d_loss: 1.454, g_loss:0.845, g_recon_loss:0.593
Epoch:[3/500]-[4/93] --> d_loss: 1.449, g_loss:0.840, g_recon_loss:0.586
Epoch:[3/500]-[5/93] --> d_loss: 1.449, g_loss:0.830, g_recon_loss:0.579
Epoch:[3/500]-[6/93] --> d_loss: 1.455, g_loss:0.834, g_recon_loss:0.593
Epoch:[3/500]-[7/93] --> d_loss: 1.454, g_loss:0.834, g_recon_loss:0.591
Epoch:[3/500]-[8/93] --> d_loss: 1.449, g_loss:0.837, g_recon_loss:0.584
Epoch:[3/500]-[9/93] --> d_loss: 1.453, g_loss:0.832, g_recon_loss:0.584
Epoch:[3/500]-[10/93] --> d_loss: 1.448, g_loss:0.840, g_recon_loss:0.592
Epoch:[3/500]-[11/93] --> d_loss: 1.455, g_loss:0.833, g_recon_loss:0.584
Epoch:[3/500]-[12/93] --> d_loss: 1.445, g_loss:0.831, g_recon_loss:0.586
Epoch:[3/500]-[13/93] --> d_loss: 1.446, g_loss:0.835, g_recon_loss:0.589
Epoch:[3/500]-[14/93] --> d_loss: 1.457, g_loss:0.836, g_recon_loss:0.577
Epoch:[3/500]-[15/93] --> d_loss: 1.447, g_loss:0.834, g_recon_loss:0.576
Epoch:[3/500]-[16/93] --> d_loss: 1.450, g_loss:0.835, g_recon_loss:0.585
Epoch:[3/500]-[17/93] --> d_loss: 1.443, g_loss:0.834, g_recon_loss:0.584
Epoch:[3/500]-[18/93] --> d_loss: 1.452, g_loss:0.834, g_recon_loss:0.576
Epoch:[3/500]-[19/93] --> d_loss: 1.445, g_loss:0.828, g_recon_loss:0.578
Epoch:[3/500]-[20/93] --> d_loss: 1.450, g_loss:0.828, g_recon_loss:0.583
Epoch:[3/500]-[21/93] --> d_loss: 1.448, g_loss:0.832, g_recon_loss:0.585
Epoch:[3/500]-[22/93] --> d_loss: 1.438, g_loss:0.832, g_recon_loss:0.587
Epoch:[3/500]-[23/93] --> d_loss: 1.436, g_loss:0.829, g_recon_loss:0.589
Epoch:[3/500]-[24/93] --> d_loss: 1.440, g_loss:0.826, g_recon_loss:0.572
Epoch:[3/500]-[25/93] --> d_loss: 1.444, g_loss:0.831, g_recon_loss:0.576
Epoch:[3/500]-[26/93] --> d_loss: 1.449, g_loss:0.835, g_recon_loss:0.582
Epoch:[3/500]-[27/93] --> d_loss: 1.439, g_loss:0.827, g_recon_loss:0.586
Epoch:[3/500]-[28/93] --> d_loss: 1.437, g_loss:0.826, g_recon_loss:0.579
Epoch:[3/500]-[29/93] --> d_loss: 1.441, g_loss:0.826, g_recon_loss:0.578
Epoch:[3/500]-[30/93] --> d_loss: 1.441, g_loss:0.832, g_recon_loss:0.585
Epoch:[3/500]-[31/93] --> d_loss: 1.439, g_loss:0.831, g_recon_loss:0.574
Epoch:[3/500]-[32/93] --> d_loss: 1.437, g_loss:0.826, g_recon_loss:0.577
Epoch:[3/500]-[33/93] --> d_loss: 1.437, g_loss:0.823, g_recon_loss:0.570
Epoch:[3/500]-[34/93] --> d_loss: 1.442, g_loss:0.828, g_recon_loss:0.575
Epoch:[3/500]-[35/93] --> d_loss: 1.444, g_loss:0.829, g_recon_loss:0.579
Epoch:[3/500]-[36/93] --> d_loss: 1.433, g_loss:0.825, g_recon_loss:0.577
Epoch:[3/500]-[37/93] --> d_loss: 1.435, g_loss:0.824, g_recon_loss:0.572
Epoch:[3/500]-[38/93] --> d_loss: 1.438, g_loss:0.828, g_recon_loss:0.578
Epoch:[3/500]-[39/93] --> d_loss: 1.436, g_loss:0.825, g_recon_loss:0.580
Epoch:[3/500]-[40/93] --> d_loss: 1.433, g_loss:0.822, g_recon_loss:0.571
Epoch:[3/500]-[41/93] --> d_loss: 1.437, g_loss:0.829, g_recon_loss:0.576
Epoch:[3/500]-[42/93] --> d_loss: 1.437, g_loss:0.828, g_recon_loss:0.587
Epoch:[3/500]-[43/93] --> d_loss: 1.438, g_loss:0.824, g_recon_loss:0.569
